Employee ID,Business Acumen,Interpersonal Sensitivity,Professional Ethics,Problem Solving and Decision Making,Communication Skills,Corporate Steward,Relevant Professional Understanding,Computer Proficiency,Proficiency in the use of System and Tools,Data Management,People Development,Strategic Management
Employee 271,2,2,2,2,2,1,1,1,1,1,2,2
Employee 419,2,4,4,3,4,4,2,2,3,1,3,2
Employee 449,1,2,2,2,2,2,2,1,2,2,2,2
Employee 385,2,3,2,2,3,1,2,1,1,2,2,2
Employee 173,3,4,4,3,3,4,4,3,3,3,3,3
Employee 34,2,2,4,2,1,2,2,2,2,2,2,2
Employee 115,4,4,2,3,3,3,2,2,2,1,2,2
Employee 64,3,3,4,4,4,3,4,3,4,3,3,2
Employee 245,4,4,4,4,3,4,4,3,4,3,4,4
Employee 267,2,2,4,2,2,2,2,2,1,1,2,2
Employee 248,2,2,2,2,2,2,2,1,1,2,2,2
Employee 128,3,3,4,2,3,2,4,2,3,3,3,2
Employee 269,2,2,2,2,1,2,1,2,2,2,2,2
Employee 135,3,3,4,3,3,3,3,2,3,3,3,3
Employee 180,1,1,2,1,1,1,1,1,1,1,2,2
Employee 456,3,2,4,3,3,3,2,2,2,2,2,2
